method,avg_norm_acc,avg_acc,sun397,stanford-cars,resisc45,eurosat,svhn,gtsrb,mnist,dtd
OT_align,0.61,0.4865,0.6274,0.6155,0.613,0.4311,0.3409,0.342,0.4907,0.4314
OT_barycenter,0.6217,0.4986,0.6259,0.607,0.6173,0.4596,0.3782,0.353,0.5199,0.4277
