config,avg_norm_acc,avg_acc
ot_ties_keep20_lam0.5,0.6958,0.5689
svd_ties_keep20_lam0.5,0.6822,0.5564
ot_ties_keep20_lam1.0,0.6421,0.5250
svd_ties_keep20_lam1.0,0.5452,0.4367
